anime_id,name,genre,user_id
3457.0,Vampire Knight,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",15190
4896.0,Umineko no Naku Koro ni,"Horror, Mystery, Psychological, Supernatural",15190
5114.0,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",15190
4752.0,Vampire Knight Guilty,"Drama, Mystery, Romance, Shoujo, Supernatural, Vampire",15190
6746.0,Durarara!!,"Action, Mystery, Supernatural",15190
7724.0,Shiki,"Mystery, Supernatural, Thriller, Vampire",15190
853.0,Ouran Koukou Host Club,"Comedy, Harem, Romance, School, Shoujo",15190
11111.0,Another,"Horror, Mystery, School, Supernatural, Thriller",15190
9756.0,Mahou Shoujo Madoka★Magica,"Drama, Magic, Psychological, Thriller",15190
11757.0,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",15190
430.0,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",25086
32.0,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",25086
1535.0,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",25086
431.0,Howl no Ugoku Shiro,"Adventure, Drama, Fantasy, Romance",25086
164.0,Mononoke Hime,"Action, Adventure, Fantasy",25086
2759.0,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",25086
5114.0,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",25086
3784.0,Evangelion: 2.0 You Can (Not) Advance,"Action, Mecha, Sci-Fi",25086
376.0,Elfen Lied Special,"Drama, Ecchi, Horror, Psychological, Supernatural",25086
71.0,Full Metal Panic!,"Action, Comedy, Mecha, Military, Sci-Fi",25086
13535.0,Binbougami ga!,"Comedy, Parody, Shounen, Supernatural",27804
11433.0,Ano Natsu de Matteru,"Comedy, Drama, Romance, Sci-Fi, Slice of Life",27804
3667.0,Strike Witches,"Action, Ecchi, Magic, Military, Sci-Fi",27804
9736.0,Astarotte no Omocha!,"Comedy, Demons, Ecchi, Fantasy, Romance, Seinen",27804
21273.0,Gochuumon wa Usagi Desu ka?,"Comedy, Slice of Life",27804
2104.0,Seto no Hanayome,"Comedy, Parody, Romance, School",27804
10456.0,Kyoukaisenjou no Horizon,"Action, Fantasy",27804
6381.0,Strike Witches 2,"Action, Ecchi, Magic, Military, Sci-Fi",27804
4192.0,Hayate no Gotoku!!,"Action, Comedy, Harem, Parody, Romance",27804
76.0,Mahou Shoujo Lyrical Nanoha,"Action, Comedy, Drama, Magic, Super Power",27804
1535.0,Death Note,"Mystery, Police, Psychological, Supernatural, Thriller",15189
8630.0,Hidan no Aria,"Action, Comedy, Romance, School",15189
2787.0,Shakugan no Shana II (Second),"Action, Drama, Fantasy, Romance, School, Supernatural",15189
355.0,Shakugan no Shana,"Action, Drama, Fantasy, Romance, School, Supernatural",15189
6547.0,Angel Beats!,"Action, Comedy, Drama, School, Supernatural",15189
9330.0,Dragon Crisis!,"Action, Magic, Romance, School, Seinen, Supernatural",15189
10155.0,Dog Days,"Action, Adventure, Fantasy, Magic",15189
8425.0,Gosick,"Drama, Historical, Mystery, Romance",15189
10578.0,C³,"Action, Comedy, Ecchi, School, Supernatural",15189
6773.0,Shakugan no Shana III (Final),"Action, Drama, Fantasy, Romance, Supernatural",15189
223.0,Dragon Ball,"Adventure, Comedy, Fantasy, Martial Arts, Shounen, Super Power",41581
22199.0,Akame ga Kill!,"Action, Adventure, Fantasy",41581
356.0,Fate/stay night,"Action, Fantasy, Magic, Romance, Supernatural",41581
19815.0,No Game No Life,"Adventure, Comedy, Ecchi, Fantasy, Game, Supernatural",41581
22513.0,Freely Tomorrow,Music,41581
30269.0,Momoiro Milk,Hentai,41581
225.0,Dragon Ball GT,"Action, Adventure, Comedy, Fantasy, Magic, Sci-Fi, Shounen, Super Power",41581
18115.0,Magi: The Kingdom of Magic,"Action, Adventure, Fantasy, Magic, Shounen",41581
13601.0,Psycho-Pass,"Action, Police, Psychological, Sci-Fi",41581
9919.0,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",41581
1686.0,Bleach Movie 1: Memories of Nobody,"Action, Adventure, Super Power",14654
11111.0,Another,"Horror, Mystery, School, Supernatural, Thriller",14654
762.0,Bleach: Memories in the Rain,"Action, Adventure, Drama, Shounen, Supernatural",14654
834.0,Bleach: The Sealed Sword Frenzy,"Adventure, Comedy, Drama, Fantasy, Shounen, Supernatural",14654
32.0,Neon Genesis Evangelion: The End of Evangelion,"Dementia, Drama, Mecha, Psychological, Sci-Fi",14654
270.0,Hellsing,"Action, Horror, Seinen, Supernatural, Vampire",14654
9919.0,Ao no Exorcist,"Action, Demons, Fantasy, Shounen, Supernatural",14654
16498.0,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",14654
11757.0,Sword Art Online,"Action, Adventure, Fantasy, Game, Romance",14654
2759.0,Evangelion: 1.0 You Are (Not) Alone,"Action, Mecha, Sci-Fi",14654
16498.0,Shingeki no Kyojin,"Action, Drama, Fantasy, Shounen, Super Power",13767
513.0,Tenkuu no Shiro Laputa,"Adventure, Fantasy, Romance, Sci-Fi",13767
2034.0,Lovely★Complex,"Comedy, Romance, Shoujo",13767
512.0,Majo no Takkyuubin,"Adventure, Comedy, Drama, Fantasy, Magic, Romance",13767
572.0,Kaze no Tani no Nausicaä,"Adventure, Fantasy",13767
12189.0,Hyouka,"Mystery, School, Slice of Life",13767
226.0,Elfen Lied,"Action, Drama, Horror, Psychological, Romance, Seinen, Supernatural",13767
7711.0,Karigurashi no Arrietty,Fantasy,13767
22785.0,Sono Hanabira ni Kuchizuke wo: Risa x Miya Gekijou,"Comedy, Romance, School, Shoujo Ai, Slice of Life",13767
20507.0,Noragami,"Action, Adventure, Shounen, Supernatural",13767
